END_ID;latitude;longitude;SUBCLASS;SUBHIERARQUIA;NOME DO PRÉDIO;NE NAME;REGIONAL;UF;Testes Programados GMG;MANTENEDORA;ATENDIMENTO;LOCALIDADE;TIPO ;DETENTOR DA ÁREA;TIPO DE INFRA;TIPO DE ABRIGO ;OWNER RESPONSÁVEL;Resp. Green;CLASSIFICAÇÃO;Elemento de rede;TIPOLOGIA TRANSPORTE;REGIONAL_OLD;TIPO DE CONTRATO DA ÁREA;TIPO DE ABRIGO;ENDEREÇO;LATITUDE;LONGITUDE;CLASSFICAÇÃO GSBI
RSCSL_0037;-29,18689;-51,16039;;;;;;;;;;;;;;;;;;;;;;;;;;
PACAH_0006;-1,27833;-47,92389;;;;;;;;;;;;;;;;;;;;;;;;;;
DFBSA_0231;-15,74383;-47,85269;;;;;;;;;;;;;;;;;;;;;;;;;;
SCIEA_0006;-27,10167;-48,62389;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_0524;-23,01214;-43,32164;;;;;;;;;;;;;;;;;;;;;;;;;;
MGBDP_0004;-19,74872;-45,29003;;;;;;;;;;;;;;;;;;;;;;;;;;
ALJQG_0001;-9,14467;-35,76975;;;;;;;;;;;;;;;;;;;;;;;;;;
RSPAE_0128;-30,06294;-51,22939;;;;;;;;;;;;;;;;;;;;;;;;;;
BAPRD_0002;-17,11128;-39,18519;;;;;;;;;;;;;;;;;;;;;;;;;;
MGBCA_0007;-21,23528;-43,70833;;;;;;;;;;;;;;;;;;;;;;;;;;
SCCUA_0013;-28,68639;-49,36944;;;;;;;;;;;;;;;;;;;;;;;;;;
SCTRO_0009;-28,47503;-48,99528;;;;;;;;;;;;;;;;;;;;;;;;;;
MGRNS_0004;-19,77889;-44,01972;;;;;;;;;;;;;;;;;;;;;;;;;;
RJNOF_0019;-22,28638;-42,52557;;;;;;;;;;;;;;;;;;;;;;;;;;
CEFLA_0165;-3,83169;-38,48139;;;;;;;;;;;;;;;;;;;;;;;;;;
MASLS_0057;-2,71086;-44,3414;;;;;;;;;;;;;;;;;;;;;;;;;;
MASLS_0058;-2,53086;-44,29903;;;;;;;;;;;;;;;;;;;;;;;;;;
SCSBS_0005;-26,24;-49,45058;;;;;;;;;;;;;;;;;;;;;;;;;;
SCUUI_0003;-26;-46;;;;;;;;;;;;;;;;;;;;;;;;;;
PRLDA_0038;-23,28556;-51,20892;DCE-R; ;LONDRINA;PILDA01;TSL;PR;;ONDACOM;Horário comercial (8x5) + Plantão;LONDRINA;PRÓPRIO;TIM;PRÉDIO;SALA;Alexandre Campagnaro;;MAIN BUILDING;;;;;;;;;
PRCTA_0265;-25,39028;-49,23806;;;;;;;;;;;;;;;;;;;;;;;;;;
PRCTA_0266;-25,45033;-49,30508;DCC;POP2;CURITIBA III INTELIG;PICTA02;TSL;PR;Toda sexta teste automático as 13:00;ONDACOM;Horário comercial (8x5) + Plantão;CURITIBA;PRÓPRIO;TIM;PRÉDIO;SALA;Alexandre Campagnaro;;MAIN BUILDING;;;;;;;;;
RSCCR_0001;-30,02478;-52,90983;;;;;;;;;;;;;;;;;;;;;;;;;;
ESLNS_0006;-19,40353;-40,06331;;;;;;;;;;;;;;;;;;;;;;;;;;
MSTLS_0003;-20,72581;-51,67756;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_1799;-22,89097;-43,28575;;;;;;;;;;;;;;;;;;;;;;;;;;
BAFSA_0028;-12,21708;-38,96461;;;;;;;;;;;;;;;;;;;;;;;;;;
MGBET_0018;-19,96694;-44,19694;;;;;;;;;;;;;;;;;;;;;;;;;;
PBBMU_0001;-6,44503;-37,92833;;;;;;;;;;;;;;;;;;;;;;;;;;
RNJOD_0001;-6,27834;-37,79724;;;;;;;;;;;;;;;;;;;;;;;;;;
PBMHB_0001;-7,2139;-38,58557;;;;;;;;;;;;;;;;;;;;;;;;;;
PESTKZ0001;-8,24056;-40,33667;;;;;;;;;;;;;;;;;;;;;;;;;;
PBSKH_0001;-7,10222;-36,84444;;;;;;;;;;;;;;;;;;;;;;;;;;
RJCBF_0011;-22,91383;-42,0615;;;;;;;;;;;;;;;;;;;;;;;;;;
MASHE_0002;-2,23944;-45,30614;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_0801;-23,00261;-43,32806;;;;;;;;;;;;;;;;;;;;;;;;;;
RSGARH0001;-28,18222;-55,64056;;;;;;;;;;;;;;;;;;;;;;;;;;
SCIAI_0016;-26,90722;-48,69528;;;;;;;;;;;;;;;;;;;;;;;;;;
SCSVK_0001;-26,90503;-51,39917;;;;;;;;;;;;;;;;;;;;;;;;;;
SCVRM_0001;-27,3775;-49,35781;;;;;;;;;;;;;;;;;;;;;;;;;;
RSPAE_0148;-30,05497;-51,20717;;;;;;;;;;;;;;;;;;;;;;;;;;
CEIDA_0001;-5,39531;-40,30944;;;;;;;;;;;;;;;;;;;;;;;;;;
SPVRP_0003;-23,22522;-46,84358;;;;;;;;;;;;;;;;;;;;;;;;;;
PRCTA_0101;-25,42972;-49,23083;;;;;;;;;;;;;;;;;;;;;;;;;;
PEPUI_0001;-7,95306;-34,89611;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_0567;-22,76083;-43,10864;;;;;;;;;;;;;;;;;;;;;;;;;;
PAMTUB0003;-1,36461;-48,30972;;;;;;;;;;;;;;;;;;;;;;;;;;
PANPSO0001;-7,04156;-55,41761;;;;;;;;;;;;;;;;;;;;;;;;;;
PEGOI_0004;-7,56906;-34,83361;;;;;;;;;;;;;;;;;;;;;;;;;;
PESUN_0001;-8,52778;-36,44333;;;;;;;;;;;;;;;;;;;;;;;;;;
MGSNPS0002;-19,41739;-42,55036;;;;;;;;;;;;;;;;;;;;;;;;;;
MGCGA_0002;-19,78917;-42,14167;;;;;;;;;;;;;;;;;;;;;;;;;;
PRFNB_0004;-26,06503;-53,03197;;;;;;;;;;;;;;;;;;;;;;;;;;
ALAIR_0010;-9,7475;-36,65333;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0715;-23,64361;-46,76325;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0716;-23,60283;-46,662;;;;;;;;;;;;;;;;;;;;;;;;;;
BATAF_0003;-17,53464;-39,71739;;;;;;;;;;;;;;;;;;;;;;;;;;
PATOU_0002;-2,42122;-48,249;;;;;;;;;;;;;;;;;;;;;;;;;;
MGBHE_0212;-19,93506;-43,96711;;;;;;;;;;;;;;;;;;;;;;;;;;
MGLPD_0003;-21,53889;-42,6475;;;;;;;;;;;;;;;;;;;;;;;;;;
RSSMA_0020;-29,68417;-53,80694;;;;;;;;;;;;;;;;;;;;;;;;;;
MGBHE_0215;-19,91842;-43,93911;;;;;;;;;;;;;;;;;;;;;;;;;;
MGCEM_0029;-19,95181;-44,01067;;;;;;;;;;;;;;;;;;;;;;;;;;
MGADC_0001;-21,01908;-43,40881;;;;;;;;;;;;;;;;;;;;;;;;;;
